#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1AA1B
#Date Time: 2019-11-28 15:17:11.989
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 1 V/div Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
1.68688,2.96165,0.581471
1.68688,3.0169,0.806914
1.68688,3.01322,2.43592
1.68688,2.93587,3.19952
1.68688,2.57859,2.50501
1.68688,2.42021,2.82499
1.68688,2.33181,3.10134
1.68688,2.19184,2.88317
1.68688,2.0482,2.89044
1.68688,1.99295,3.01407
1.68688,1.8935,2.97407
1.68688,1.85298,2.75954
1.68688,1.84562,1.10872
1.68688,1.9156,0.265124
1.68688,2.25446,1.05781
1.68688,2.45704,0.748735
1.68688,2.57491,0.439661
1.68688,2.7075,0.646923
1.68688,2.85115,0.697829
1.68688,2.89167,0.526929
1.68688,2.98375,0.574199
1.68688,3.00953,0.828731
1.68688,3.02795,2.43956
1.68688,2.93219,3.22133
1.68688,2.59701,2.4941
1.68688,2.44231,2.86135
1.68688,2.32444,3.0977
1.68688,2.19553,2.89771
1.68688,2.03346,2.89408
1.68688,2.004,3.02498
1.68688,1.90823,2.9668
1.68688,1.87508,2.78136
1.68688,1.83457,1.09417
1.68688,1.9156,0.25058
1.68688,2.26183,1.06145
1.68688,2.44967,0.741463
1.68688,2.57122,0.425116
1.68688,2.71487,0.643286
1.68688,2.85852,0.679648
1.68688,2.89535,0.497839
1.68688,2.98375,0.566927
1.68688,3.00585,0.781461
1.68688,3.02058,2.44683
1.68688,2.93587,3.19588
1.68688,2.58227,2.50501
1.68688,2.45704,2.83226
1.68688,2.31339,3.07225
1.68688,2.20658,2.88317
1.68688,2.04083,2.87953
1.68688,1.99663,3.02498
1.68688,1.89718,2.97044
1.68688,1.86403,2.75954
1.68688,1.84193,1.09054
1.68688,1.92296,0.254216
1.68688,2.28024,1.06145
1.68688,2.47546,0.745099
1.68688,2.58227,0.417844
1.68688,2.69277,0.650559
1.68688,2.8622,0.697829
1.68688,2.88799,0.51602
1.68688,2.98007,0.581471
1.68688,2.99112,0.806914
1.68688,3.03163,2.44683
1.68688,2.92482,3.2177
1.68688,2.58964,2.48683
1.68688,2.44599,2.84681
1.68688,2.32813,3.09043
1.68688,2.22868,2.89771
1.68688,2.04451,2.87953
1.68688,1.99295,3.02498
1.68688,1.91191,2.95226
1.68688,1.83825,2.76681
1.68688,1.84193,1.09054
1.68688,1.93401,0.25058
1.68688,2.25446,1.04327
1.68688,2.44599,0.745099
1.68688,2.56754,0.432388
1.68688,2.68909,0.654195
1.68688,2.84747,0.66874
1.68688,2.88799,0.530565
1.68688,2.97639,0.585108
1.68688,3.02427,0.814187
1.68688,3.02427,2.44683
1.68688,2.93587,3.21043
1.68688,2.59701,2.49046
1.68688,2.44967,2.83954
1.68688,2.31708,3.07225
1.68688,2.20658,2.89408
1.68688,2.04451,2.90135
1.68688,1.99295,3.03589
1.68688,1.89718,2.95226
1.68688,1.83825,2.78136
1.68688,1.84193,1.09417
1.68688,1.92296,0.25058
1.68688,2.28393,1.06508
1.68688,2.44231,0.741463
1.68688,2.56017,0.417844
1.68688,2.69277,0.657831
1.68688,2.87325,0.697829
1.68688,2.89167,0.505112
1.68688,2.9727,0.574199
1.68688,3.00585,0.799642
1.68688,3.0169,2.44683
1.68688,2.93587,3.20315
1.68688,2.59332,2.49046
1.68688,2.43494,2.83226
1.68688,2.32444,3.08316
1.68688,2.21026,2.90499
1.68688,2.0482,2.89044
1.68688,2.00031,3.03225
1.68688,1.92665,2.9668
1.68688,1.86403,2.78136
1.68688,1.83457,1.09781
1.68688,1.91191,0.246943
1.68688,2.27656,1.05781
1.68688,2.44967,0.748735
1.68688,2.55649,0.417844
1.68688,2.68909,0.621469
1.68688,2.85115,0.679648
1.68688,2.87325,0.51602
1.68688,2.96902,0.581471
1.68688,3.02058,0.799642
1.68688,3.0169,2.45047
1.68688,2.93219,3.2177
1.68688,2.56754,2.48683
1.68688,2.44599,2.83226
1.68688,2.30971,3.07225
1.68688,2.20289,2.90862
1.68688,2.04451,2.88317
1.68688,1.99663,3.02498
1.68688,1.90086,2.95953
1.68688,1.84193,2.77408
1.68688,1.83825,1.09054
1.68688,1.90086,0.261488
1.68688,2.28024,1.05781
1.68688,2.43126,0.745099
1.68688,2.55281,0.414207
1.68688,2.68541,0.657831
1.68688,2.85115,0.665103
1.68688,2.88799,0.51602
1.68688,2.96534,0.570563
1.68688,2.9948,0.799642
1.68688,3.01322,2.44683
1.68688,2.9285,3.21406
1.68688,2.59332,2.48683
1.68688,2.44599,2.83226
1.68688,2.33181,3.0868
1.68688,2.19921,2.88317
1.68688,2.02978,2.88681
1.68688,1.99663,3.01044
1.68688,1.89718,2.96317
1.68688,1.8493,2.77045
1.68688,1.83457,1.10508
1.68688,1.91191,0.243307
1.68688,2.26551,1.07236
1.68688,2.43494,0.76328
1.68688,2.57491,0.425116
1.68688,2.69646,0.650559
1.68688,2.84747,0.683284
1.68688,2.88799,0.505112
1.68688,2.97639,0.588744
1.68688,3.00217,0.796006
1.68688,3.01322,2.42138
1.68688,2.93587,3.21043
1.68688,2.58596,2.48683
1.68688,2.43494,2.8359
1.68688,2.31339,3.07589
1.68688,2.20289,2.88681
1.68688,2.04451,2.86863
1.68688,1.99295,3.01771
1.68688,1.90086,2.94862
1.68688,1.86035,2.75954
1.68688,1.84193,1.08326
1.68688,1.91191,0.265124
1.68688,2.27656,1.05417
1.68688,2.46441,0.726918
1.68688,2.56017,0.417844
1.68688,2.68909,0.646923
1.68688,2.84747,0.690557
1.68688,2.90272,0.526929
1.68688,2.98007,0.577835
1.68688,3.01322,0.79237
1.68688,2.99848,2.42865
1.68688,2.94324,3.2177
1.68688,2.57859,2.50864
1.68688,2.43126,2.8359
1.68688,2.32076,3.06862
1.68688,2.18816,2.89044
1.68688,2.04451,2.90499
1.68688,2.00031,3.0068
1.68688,1.88613,2.95589
1.68688,1.8493,2.76318
1.68688,1.83825,1.10508
1.68688,1.9156,0.25058
1.68688,2.27288,1.06145
1.68688,2.45704,0.748735
1.68688,2.56386,0.414207
1.68688,2.71119,0.646923
1.68688,2.85484,0.686921
1.68688,2.89167,0.505112
1.68688,2.98007,0.559654
1.68688,3.00585,0.814187
1.68688,3.02058,2.45047
1.68688,2.92114,3.20679
1.68688,2.58964,2.49046
1.68688,2.43126,2.82499
1.68688,2.32076,3.06862
1.68688,2.21026,2.89044
1.68688,2.04451,2.87953
1.68688,2.00768,3.01771
1.68688,1.90086,2.95953
1.68688,1.8493,2.76318
1.68688,1.84193,1.09054
1.68688,1.93033,0.257852
1.68688,2.28393,1.06508
1.68688,2.44967,0.745099
1.68688,2.57122,0.436024
1.68688,2.69277,0.650559
1.68688,2.8622,0.694193
1.68688,2.89167,0.512384
1.68688,2.95797,0.570563
1.68688,3.0169,0.814187
1.68688,3.03532,2.46501
1.68688,2.93587,3.21043
1.68688,2.60437,2.51228
1.68688,2.44599,2.83954
1.68688,2.30971,3.07952
1.68688,2.20289,2.89408
1.68688,2.03715,2.90499
1.68688,1.97085,3.03225
1.68688,1.90086,2.95226
1.68688,1.86035,2.77408
1.68688,1.82352,1.09781
1.68688,1.92296,0.257852
1.68688,2.28393,1.06872
1.68688,2.46441,0.752372
1.68688,2.55649,0.417844
1.68688,2.70014,0.632378
1.68688,2.88799,0.676012
1.68688,2.89904,0.501476
1.68688,2.98743,0.588744
1.68688,3.0169,0.803278
1.68688,3.03163,2.44683
1.68688,2.94692,3.20315
1.68688,2.60806,2.4941
1.68688,2.43862,2.84317
1.68688,2.31708,3.10861
1.68688,2.21026,2.89771
1.68688,2.03715,2.89044
1.68688,2.00768,3.02134
1.68688,1.90455,2.9668
1.68688,1.85667,2.77408
1.68688,1.85298,1.08326
1.68688,1.91928,0.254216
1.68688,2.28393,1.07599
1.68688,2.46441,0.759644
1.68688,2.56754,0.425116
1.68688,2.70014,0.650559
1.68688,2.87325,0.690557
1.68688,2.9064,0.512384
1.68688,2.96534,0.581471
1.68688,3.01322,0.806914
1.68688,3.02427,2.43592
1.68688,2.93219,3.21043
1.68688,2.60069,2.48683
1.68688,2.46441,2.85772
1.68688,2.32076,3.0868
1.68688,2.20289,2.91226
1.68688,2.03346,2.90135
1.68688,1.98926,3.04316
1.68688,1.90086,2.95589
1.68688,1.8493,2.78499
1.68688,1.83457,1.11599
1.68688,1.92665,0.265124
1.68688,2.26551,1.07236
1.68688,2.46809,0.748735
1.68688,2.57491,0.439661
1.68688,2.71487,0.643286
1.68688,2.86957,0.686921
1.68688,2.89167,0.526929
1.68688,2.9727,0.581471
1.68688,3.0169,0.832368
1.68688,3.02427,2.44683
1.68688,2.93955,3.2177
1.68688,2.60806,2.50501
1.68688,2.44599,2.83954
1.68688,2.32813,3.0977
1.68688,2.21026,2.90862
1.68688,2.05556,2.8759
1.68688,1.98926,3.04316
1.68688,1.8935,2.9668
1.68688,1.86772,2.77408
1.68688,1.85667,1.0869
1.68688,1.9156,0.261488
1.68688,2.28393,1.06508
1.68688,2.44599,0.76328
1.68688,2.56754,0.42148
1.68688,2.70382,0.657831
1.68688,2.86589,0.694193
1.68688,2.89167,0.526929
1.68688,2.96902,0.570563
1.68688,3.0169,0.814187
1.68688,3.02795,2.46501
1.68688,2.93587,3.20315
1.68688,2.59332,2.4941
1.68688,2.43126,2.85772
1.68688,2.32444,3.07589
1.68688,2.19553,2.89408
1.68688,2.05188,2.89408
1.68688,2.004,3.03225
1.68688,1.91191,2.96317
1.68688,1.8493,2.75954
1.68688,1.84193,1.09781
1.68688,1.91191,0.26876
1.68688,2.26919,1.06508
1.68688,2.45336,0.748735
1.68688,2.56386,0.428752
1.68688,2.70382,0.657831
1.68688,2.86589,0.676012
1.68688,2.88799,0.51602
1.68688,2.98375,0.556018
1.68688,3.0169,0.814187
1.68688,3.03163,2.44683
1.68688,2.93219,3.19225
1.68688,2.59332,2.4941
1.68688,2.41653,2.84681
1.68688,2.33549,3.06862
1.68688,2.18448,2.89044
1.68688,2.02978,2.88317
